# LAMMPS data file written by OVITO Basic 3.7.12
900 atoms
600 bonds
300 angles
2 atom types
1 bond types
1 angle types
-10.4010299599 10.4010299599 xlo xhi
-10.4010299599 10.4010299599 ylo yhi
-10.4010299599 10.4010299599 zlo zhi

Masses

1 1.0079401
2 15.9994

Atoms  # full

77 26 1 0.42379999 -3.4647044784 -1.3657895066 2.8197439429
78 26 1 0.42379999 -2.4374305943 -2.0652099329 1.7604299679
79 27 2 -0.84759998 -0.8467342011 1.3600000484 3.7500976211
80 27 1 0.42379999 -0.0779051453 1.7683485344 4.2421884633
81 27 1 0.42379999 -1.6004511137 1.1959344255 4.38648845
82 28 2 -0.84759998 2.5009555917 6.9527751104 9.3449493209
83 28 1 0.42379999 3.3032311128 6.9208516766 9.9410490463
84 28 1 0.42379999 1.7218129724 7.3185545296 9.8540094306
85 29 2 -0.84759998 -8.1487399547 7.4990793763 2.2481825428
86 29 1 0.42379999 -8.3151386337 6.6454432939 2.7417581889
87 29 1 0.42379999 -8.068433445 8.2517401611 2.9016751651
88 30 2 -0.84759998 3.0889359969 -9.3299764211 1.1894724548
89 30 1 0.42379999 3.927644597 -9.0764651977 0.7074974101
90 30 1 0.42379999 2.360059634 -8.6885587801 0.9500509494
91 31 2 -0.84759998 0.6546739714 -9.2567139695 3.9779727046
92 31 1 0.42379999 1.5937571743 -9.1453702657 3.6528184063
93 31 1 0.42379999 0.1459114892 -9.8313584454 3.3369232034
94 32 2 -0.84759998 6.9986758002 6.8989705653 5.2489528019
95 32 1 0.42379999 7.3651300144 7.4661743764 4.5113952478
96 32 1 0.42379999 6.0305429211 6.7153552915 5.0786467258
97 33 2 -0.84759998 9.4183847288 8.6419785297 -8.3794002689
98 33 1 0.42379999 8.7221852476 9.3563136664 -8.3084665334
99 33 1 0.42379999 9.890403869 8.7225828739 -9.2572959751
100 34 2 -0.84759998 5.3024610401 4.1504596589 -9.1350779163
101 34 1 0.42379999 4.6867922437 3.7705661076 -9.8254639118
102 34 1 0.42379999 5.7365137117 3.4050296259 -8.6291803534
103 35 2 -0.84759998 -9.6403354759 3.2237987839 9.9742424974
104 35 1 0.42379999 -8.9639658104 2.6292335916 9.5394824398
105 35 1 0.42379999 -10.3434351975 3.4718631502 9.3078230711
106 36 2 -0.84759998 9.995267511 2.4082495988 -4.3147364835
107 36 1 0.42379999 10.1860767464 2.0603341433 -3.3968330727
108 36 1 0.42379999 9.9158828109 3.4046105513 -4.2837055039
109 37 2 -0.84759998 2.2723831713 -9.2668627595 6.2404316094
110 37 1 0.42379999 1.5878597113 -8.8305128929 6.8244062891
111 37 1 0.42379999 2.7673259052 -9.9584040983 6.7665516213
112 38 2 -0.84759998 -2.0192789046 3.9933460143 2.8724659832
113 38 1 0.42379999 -1.80526505 4.1666857624 3.8337939198
114 38 1 0.42379999 -2.836194535 3.4198720064 2.81101344
115 39 2 -0.84759998 -9.3415817443 -5.7985331631 -3.5175952716
116 39 1 0.42379999 -9.5674106807 -5.4324592611 -4.4203638964
117 39 1 0.42379999 -8.3515517459 -5.9192319314 -3.4449839124
118 40 2 -0.84759998 -5.3987515919 -1.4949182337 -0.6079148062
119 40 1 0.42379999 -4.955729108 -1.2548687178 -1.4716898398
120 40 1 0.42379999 -5.650314905 -0.6596813312 -0.1189411707
121 41 2 -0.84759998 6.5043256166 10.0274297857 -4.7662145575
122 41 1 0.42379999 6.9469771371 9.4135986116 -4.1125549204
123 41 1 0.42379999 7.1956359275 10.6009850291 -5.2056738127
124 42 2 -0.84759998 0.2100021025 -4.0450424979 -5.339249893
125 42 1 0.42379999 -0.5549738707 -4.1196688513 -4.6995291197
126 42 1 0.42379999 0.1504231662 -4.7779033287 -6.0170148618
127 43 2 -0.84759998 3.8673371942 -6.0553001508 4.3125471988
128 43 1 0.42379999 3.8673345394 -6.5327361338 3.4338806624
129 43 1 0.42379999 4.6050538809 -6.4120238804 4.8857158223
130 44 2 -0.84759998 -4.6014486411 -6.7146877792 -8.0482020692
131 44 1 0.42379999 -5.1998006932 -6.8730161548 -7.2627678281
132 44 1 0.42379999 -5.1568945872 -6.585168149 -8.8696060297
133 45 2 -0.84759998 8.6429346569 -8.1280278802 6.1363912888
134 45 1 0.42379999 8.2416973449 -7.3432547791 5.6640145333
135 45 1 0.42379999 9.276552246 -8.5984829432 5.5222245489
136 46 2 -0.84759998 0.2402853968 6.1464935923 -9.5338043911
137 46 1 0.42379999 -0.4159966232 5.3931231615 -9.492248354
138 46 1 0.42379999 1.1064419516 5.8568557256 -9.1265173564
139 47 2 -0.84759998 -9.0271782344 -1.0435297424 10.1136106722
140 47 1 0.42379999 -9.4165438028 -1.52550934 9.3286965867
141 47 1 0.42379999 -8.3521330708 -0.3781764324 9.7948333205
142 48 2 -0.84759998 8.3089273779 -8.5705654849 8.8554193626
